,almaid,ClumpName,AGAL,peak_x_icrs,peak_y_icrs,radius_au,radius_pc,major_sigma,minor_sigma,position_angle,T,Mass,avir,bound,preproto
644,1,G331.37,331.372-00.116,16:11:33.30,-51.35.23.12,5757.36711876025,0.0279125034634516,1.08527047338281,0.755569252525706,171.177138733802,14.802,7.95360432459874,0.743481406543936,bound,prestellar
645,2,G331.37,331.372-00.116,16:11:33.28,-51.34.50.52,3084.26585081619,0.0149529428065463,0.576617600121122,0.408112722694061,144.143539332004,16.044,1.87983678728054,0.539866429223648,bound,prestellar
646,3,G331.37,331.372-00.116,16:11:32.92,-51.35.33.52,2305.25726883048,0.0111762026240622,0.452733983679142,0.290375601426088,156.470228816733,16.699,0.849303000431026,0.0,non-detection,outflow
647,4,G331.37,331.372-00.116,16:11:34.08,-51.34.59.52,7160.58128391637,0.0347154777113954,1.16459183723084,1.08914884110779,78.3069906179112,17.812,4.18531350453273,1.94491748517024,bound,outflow
648,5,G331.37,331.372-00.116,16:11:34.01,-51.34.46.92,3753.01442234482,0.0181951273735417,0.757578670657937,0.459935726175174,-157.753266267454,17.938,1.56652952569391,2.15323789406218,unbound,outflow
649,7,G331.37,331.372-00.116,16:11:36.33,-51.35.17.32,4037.65019838376,0.0195750805571108,0.850384238749136,0.474249189623514,-176.623298357715,16.044,1.54923061799817,1.35977667591189,bound,prestellar
650,6,G331.37,331.372-00.116,16:11:33.63,-51.34.49.92,3692.7780915050700,0.0179030934006322,0.811426317313125,0.415739940243289,177.837217211697,16.044,1.59511151299623,0.0,non-detection,prestellar
651,8,G331.37,331.372-00.116,16:11:36.33,-51.35.25.72,4541.585062144630,0.0220182257205042,0.94517564652879,0.539842161621177,73.4108361324718,12.291,2.53098853470446,0.355676776128788,bound,prestellar
652,9,G331.37,331.372-00.116,16:11:33.41,-51.35.20.32,1705.9111873495,0.0082704908238485,0.333660143595348,0.215760986761076,135.227535951457,12.886,0.48405344624487,0.0,non-detection,prestellar
653,13,G331.37,331.372-00.116,16:11:32.75,-51.35.32.52,3294.51470807692,0.0159722580309228,0.780276287182221,0.344111280845011,119.525117772624,14.554,1.08574479569093,0.0,non-detection,prestellar
654,10,G331.37,331.372-00.116,16:11:33.26,-51.35.15.92,2623.32528220896,0.0127182398681544,0.525796625045771,0.323780666547274,148.101248993142,16.044,0.734841114902072,0.0,non-detection,prestellar
655,11,G331.37,331.372-00.116,16:11:33.41,-51.35.14.72,2571.95959749496,0.0124692120012653,0.647062839370853,0.252898493538214,149.886770476572,9.004,1.70262627403684,0.0,non-detection,prestellar
656,12,G331.37,331.372-00.116,16:11:33.99,-51.35.03.32,6941.84825982788,0.0336550300855098,1.31813585566815,0.904387344051506,51.0610915780714,15.078,3.55991292671759,0.907975613311026,bound,prestellar
657,14,G331.37,331.372-00.116,16:11:34.87,-51.34.48.92,4501.98108312369,0.0218262202119469,1.25228620983483,0.400376105523881,113.449511795053,17.938,1.0625780740618,0.0,non-detection,outflow
658,16,G331.37,331.372-00.116,16:11:33.48,-51.35.10.52,3042.01919340145,0.0147481252315882,0.596925601375879,0.383502422403371,111.006503194729,16.044,0.847862777567831,0.0,non-detection,prestellar
659,15,G331.37,331.372-00.116,16:11:35.66,-51.35.17.52,3733.71250300732,0.0181015490278768,0.754077709686804,0.4573303906782,116.580530929439,16.044,0.944030813798264,1.2145640878513,bound,prestellar
660,17,G331.37,331.372-00.116,16:11:33.63,-51.34.46.92,2498.98685580775,0.012115430166085,0.515872251172701,0.299467842188521,173.252055946866,16.044,0.506298238304028,0.0,non-detection,prestellar
661,18,G331.37,331.372-00.116,16:11:33.00,-51.35.18.32,2138.45581042871,0.0103675263334402,0.43718453928685,0.258761811605459,130.656145041204,16.044,0.442901020934329,0.0,non-detection,prestellar
662,19,G331.37,331.372-00.116,16:11:33.67,-51.35.10.72,1763.73400232729,0.0085508237416635,0.295433870419894,0.260477556061699,133.793380517014,18.065,0.245036440954676,0.0,non-detection,outflow
663,20,G331.37,331.372-00.116,16:11:34.68,-51.35.16.92,3440.73100336112,0.0166811346344721,0.716796953036692,0.408573042247841,157.799892115066,17.024,0.780478741772577,0.0,non-detection,prestellar
664,21,G331.37,331.372-00.116,16:11:33.18,-51.35.09.32,2694.49610552068,0.0130632857565279,0.581270393536512,0.30898780180283,178.716941809078,16.044,0.514911464027107,0.0,non-detection,prestellar
665,22,G331.37,331.372-00.116,16:11:34.48,-51.34.53.72,3867.57232761307,0.0187505197710747,1.07240628341996,0.345049939729923,150.392188068726,17.111,0.969417486494258,0.0,non-detection,prestellar
666,31,G331.37,331.372-00.116,16:11:32.62,-51.35.29.72,3812.32429551412,0.0184826697529152,0.992100554221414,0.362400175053235,107.094286993023,16.044,0.632839075014769,0.0,non-detection,prestellar
667,27,G331.37,331.372-00.116,16:11:32.75,-51.35.21.32,2561.39185709952,0.0124179781500441,0.81351922741726,0.199502638866191,149.039320098166,16.044,0.461786450004396,0.0,non-detection,prestellar
668,24,G331.37,331.372-00.116,16:11:34.44,-51.34.56.92,3708.28383440664,0.0179782673635767,0.862921937759336,0.394220172099534,71.0111292592378,18.119,0.713934093006738,0.0,non-detection,warm
669,23,G331.37,331.372-00.116,16:11:34.01,-51.34.52.12,2640.63412914011,0.0128021555261189,0.491047392344472,0.351283274512676,134.24580889103,16.044,0.55966711860277,0.0,non-detection,prestellar
670,26,G331.37,331.372-00.116,16:11:34.06,-51.35.09.72,3099.76687968716,0.0150280939152255,0.756226084049932,0.314319142858825,-162.320238587377,17.845,0.489512029257118,0.0,non-detection,prestellar
671,29,G331.37,331.372-00.116,16:11:34.36,-51.34.47.52,2893.64952490627,0.0140288087801067,0.626751994643636,0.330491694780074,-161.624074183467,17.938,0.566984326918247,0.0,non-detection,outflow
672,25,G331.37,331.372-00.116,16:11:35.32,-51.35.23.12,3137.84309955099,0.0152126926383747,0.595288287882576,0.40916598940636,119.394648869938,16.044,0.605606143910279,0.0,non-detection,prestellar
673,30,G331.37,331.372-00.116,16:11:33.84,-51.35.10.52,1932.43217231159,0.0093686955495288,0.367395075595549,0.251443032058293,-174.650960244211,18.027,0.265711864892406,0.0,non-detection,prestellar
674,34,G331.37,331.372-00.116,16:11:31.95,-51.35.09.92,4712.81869166687,0.0228483897830884,0.983060840710559,0.558914639423347,178.261473407503,16.044,1.0603590866738,0.0,non-detection,prestellar
675,28,G331.37,331.372-00.116,16:11:32.96,-51.35.26.92,3773.48288957006,0.0182943613029631,0.695000513888162,0.506832040358351,87.0906243153116,17.501,0.815586948562429,0.0,non-detection,prestellar
676,33,G331.37,331.372-00.116,16:11:35.21,-51.35.15.52,3799.62661462626,0.0184211096587872,0.8262479090086,0.432250879960623,128.770458053145,18.93,0.774295822940692,0.0,non-detection,prestellar
677,32,G331.37,331.372-00.116,16:11:34.08,-51.34.55.32,3324.94407810923,0.0161197837799149,0.575217281904488,0.475445983096079,58.5902394592372,17.977,0.578416175813356,0.0,non-detection,prestellar
678,35,G331.37,331.372-00.116,16:11:33.86,-51.34.53.92,3035.80288459451,0.0147179877160321,0.724411067626138,0.314721548280348,123.783280755627,19.182,0.475104336475255,0.0,non-detection,prestellar
679,36,G331.37,331.372-00.116,16:11:32.92,-51.34.49.92,2282.12398595696,0.0110640493038016,0.539809257556132,0.238672597873335,114.604502108906,18.789,0.266330182164918,0.0,non-detection,prestellar
680,37,G331.37,331.372-00.116,16:11:33.11,-51.34.47.12,4050.95101215998,0.0196395647219968,0.874367441990286,0.464284753488837,164.75459177489,15.702,0.573483142235563,0.0,non-detection,prestellar
681,38,G331.37,331.372-00.116,16:11:32.94,-51.35.01.12,3099.45290910332,0.0150265717428804,0.765714807440319,0.310361224425467,-153.720310456478,16.044,0.43007686057174,0.0,non-detection,prestellar
682,39,G331.37,331.372-00.116,16:11:34.53,-51.35.05.92,3569.28895875596,0.017304401190381,0.796213086851034,0.395820718628884,160.133085278453,15.442,0.502370447444828,0.0,non-detection,warm
683,1,G332.96,332.969-00.029,16:18:34.43,-50.24.56.45,4532.62279509972,0.0219747754237329,1.20477876385645,0.665283694237745,-162.905961030432,12.6,4.01937261986019,1.45938664297302,bound,warm
684,2,G332.96,332.969-00.029,16:18:30.43,-50.25.23.26,2099.57619311859,0.0101790326295577,0.507583773887954,0.338821198936484,165.841737999562,12.6,0.614357773332298,1.74109891053699,bound,prestellar
685,3,G332.96,332.969-00.029,16:18:30.79,-50.25.20.66,4653.56488258453,0.0225611192100787,1.42687284356235,0.592108506414426,79.5608069178532,12.6,2.46012837799782,0.0,non-detection,prestellar
686,4,G332.96,332.969-00.029,16:18:32.09,-50.24.50.46,2595.03038670147,0.0125810623436784,0.6275266283947,0.418666066177063,99.5991898892611,12.6,1.11189090662828,1.48904938638186,bound,prestellar
687,5,G332.96,332.969-00.029,16:18:30.92,-50.25.15.06,3601.17985718174,0.0174590126289779,0.740395087762882,0.683346731935959,74.6104032998937,12.6,1.42852663878997,1.50547375135365,bound,prestellar
688,6,G332.96,332.969-00.029,16:18:31.00,-50.25.10.06,3689.66886670578,0.0178880194534288,0.859481283590849,0.61795006961688,148.847753606483,12.6,1.31247502038023,2.40680276562529,unbound,warm
689,7,G332.96,332.969-00.029,16:18:32.19,-50.24.48.26,1819.29915883845,0.0088202112223595,0.44571241378086,0.289713366895203,-148.270634997347,12.6,0.432206564283618,5.73303169206935,unbound,prestellar
690,8,G332.96,332.969-00.029,16:18:31.88,-50.24.49.86,2146.3718866281,0.0104059045538619,0.510416849066345,0.352127518553374,102.186232041068,12.6,0.465315980456421,0.0,non-detection,prestellar
691,9,G332.96,332.969-00.029,16:18:34.39,-50.24.58.65,3077.80247439606,0.0149216074733999,0.880883635228697,0.41954444284834,159.594439714539,12.6,0.771601765370992,2.67508905015109,unbound,prestellar
692,10,G332.96,332.969-00.029,16:18:31.50,-50.25.04.26,1596.33087277878,0.0077392304670068,0.337368838584575,0.294683544959668,56.7648500572854,12.6,0.269334223952572,0.0,non-detection,prestellar
693,11,G332.96,332.969-00.029,16:18:31.65,-50.25.08.06,2940.74208324264,0.0142571199457059,0.817481166200567,0.412715845465587,61.8167799157584,12.6,0.616210910559229,3.54134472075576,unbound,prestellar
694,12,G332.96,332.969-00.029,16:18:32.23,-50.25.02.46,2246.843324346,0.0108930038295257,0.463095853008471,0.425294447678759,161.696201831069,12.6,0.453100878654206,0.0,non-detection,prestellar
695,13,G332.96,332.969-00.029,16:18:30.12,-50.25.16.46,2007.34273331138,0.0097318721978517,0.57595707189908,0.272940492647319,139.354750967145,12.6,0.386150829147333,1.32811499819836,bound,prestellar
696,14,G332.96,332.969-00.029,16:18:31.44,-50.25.09.26,1737.39993628837,0.0084231525867144,0.539897926243559,0.218123756803304,107.346530594486,12.6,0.253073428041604,4.86711411042645,unbound,prestellar
