ID,Mcore,err_Mcore,Tcore,Size
377,0.31,0.16,16.0,1861
378,1.93,0.97,17.6,4432
379,0.38,0.19,17.6,1742
380,0.24,0.12,17.6,1394
381,0.54,0.27,17.6,2162
382,0.59,0.29,17.6,2506
383,0.29,0.15,17.6,1636
384,0.37,0.19,17.6,2106
385,0.96,0.48,17.6,3428
386,0.14,0.07,17.6,1175
387,0.78,0.39,17.6,3337
388,0.42,0.21,17.6,2508
389,0.41,0.21,17.6,2997
390,0.21,0.11,17.6,1788
391,0.14,0.07,17.6,1524
392,0.16,0.08,17.6,1640
393,0.22,0.11,17.6,1871
394,0.13,0.07,17.6,1524
395,0.21,0.11,17.6,2162
396,0.19,0.10,17.6,2191
397,0.19,0.09,17.6,1986
398,0.32,0.16,17.6,3376
399,0.24,0.12,17.6,2434
400,0.30,0.15,17.6,2792
401,0.21,0.11,17.6,2363
402,0.26,0.13,17.6,2695
403,0.13,0.07,17.6,1989
404,0.18,0.09,17.6,2709
405,6.25,3.12,18.9,3519
406,6.72,3.36,18.9,4984
407,2.40,1.20,18.9,4392
408,1.45,0.73,18.9,2608
409,0.65,0.33,18.9,1567
410,2.78,1.39,18.9,3412
411,1.13,0.56,18.9,2273
412,1.45,0.73,18.9,3021
413,0.73,0.37,18.9,2244
414,0.79,0.40,18.9,2374
415,0.44,0.22,18.9,1684
416,1.47,0.74,18.9,3803
417,0.26,0.13,18.9,1728
418,0.24,0.12,18.9,1591
419,0.28,0.14,18.9,1794
420,0.31,0.15,18.9,1847
421,0.36,0.18,18.9,2094
422,0.42,0.21,18.9,2517
423,0.23,0.12,18.9,1951
424,0.29,0.15,18.9,2380
425,0.40,0.20,18.9,2865
426,0.23,0.11,18.9,2321
427,0.30,0.15,18.9,3453
428,0.12,0.06,18.9,1765
429,0.12,0.06,18.9,2581
430,8.42,4.21,21.2,3153
431,5.49,2.75,21.2,2855
432,7.15,3.58,21.2,3810
433,2.89,1.45,21.2,2727
434,2.97,1.49,21.2,2304
435,5.88,2.94,21.2,4067
436,3.25,1.62,21.2,3588
437,4.37,2.19,21.2,3713
438,1.01,0.51,21.2,1631
439,2.85,1.43,21.2,3334
440,2.14,1.07,21.2,2980
441,1.14,0.57,21.2,2072
442,2.24,1.12,21.2,3362
443,0.90,0.45,21.2,2010
444,2.65,1.32,21.2,3727
445,0.48,0.24,21.2,1491
446,3.31,1.66,21.2,4452
447,1.92,0.96,21.2,4031
448,3.00,1.50,21.2,4737
449,1.18,0.59,21.2,3146
450,0.30,0.15,21.2,1294
451,0.56,0.28,21.2,1801
452,1.11,0.56,21.2,3476
453,2.67,1.34,21.2,5368
454,0.81,0.40,21.2,2556
455,0.34,0.17,21.2,1806
456,0.24,0.12,21.2,1460
457,0.92,0.46,21.2,3364
458,0.30,0.15,21.2,1687
459,0.29,0.15,21.2,1676
460,0.86,0.43,21.2,3238
461,0.82,0.41,21.2,3595
462,0.38,0.19,21.2,2255
463,0.35,0.17,21.2,2372
464,0.25,0.13,21.2,1797
465,0.29,0.14,21.2,1899
466,0.43,0.22,21.2,2847
467,0.28,0.14,21.2,2160
468,2.59,1.29,14.5,4332
469,0.62,0.31,14.5,2369
470,2.14,1.07,14.5,6036
471,0.67,0.34,14.5,3032
472,0.44,0.22,14.5,2709
473,1.31,0.66,14.5,5230
474,0.53,0.26,14.5,2775
475,0.35,0.18,14.5,2257
476,0.74,0.37,14.5,4543
