ID,Mcore,err_Mcore,Tcore,Size
I11332-6258_2,0.14,0.07,100.0,251
I11332-6258_3,0.39,0.20,30.0,709
I11332-6258_4,0.36,0.18,30.0,970
I11332-6258_5,0.16,0.08,30.0,293
I11332-6258_6,0.13,0.07,30.0,362
I11332-6258_7,0.09,0.05,30.0,239
I11332-6258_8,0.03,0.01,30.0,239
I11332-6258_9,0.04,0.02,30.0,239
I11332-6258_10,0.09,0.04,30.0,731
I11332-6258_11,0.09,0.04,30.0,534
I11332-6258_12,0.34,0.17,20.0,3882
I11332-6258_13,0.08,0.04,30.0,602
I11332-6258_14,0.05,0.03,30.0,436
I11332-6258_15,0.02,0.01,30.0,239
I11332-6258_16,0.03,0.01,30.0,488
I11332-6258_17,0.02,0.01,30.0,538
I11332-6258_18,0.03,0.02,30.0,496
I11332-6258_19,0.06,0.03,30.0,972
I11332-6258_20,0.06,0.03,30.0,519
I11332-6258_21,0.04,0.02,30.0,1423
I12320-6122_1,13.30,6.65,100.0,1806
I12320-6122_2,8.81,4.41,100.0,1265
I12320-6122_3,1.46,0.73,100.0,504
I12320-6122_4,2.44,1.22,30.0,504
I12320-6122_5,2.74,1.37,30.0,516
I12320-6122_6,2.19,1.09,100.0,2643
I12320-6122_7,2.11,1.05,30.0,680
I12320-6122_8,0.62,0.31,100.0,608
I12320-6122_9,3.71,1.85,20.0,505
I12320-6122_10,0.82,0.41,30.0,504
I12320-6122_11,0.82,0.41,30.0,798
I12320-6122_12,0.30,0.15,100.0,504
I12320-6122_13,1.98,0.99,30.0,2341
I12320-6122_14,0.86,0.43,30.0,847
I12320-6122_15,1.81,0.91,30.0,2003
I12320-6122_16,0.33,0.16,100.0,1207
I12320-6122_17,2.20,1.10,20.0,1001
I12320-6122_18,0.52,0.26,30.0,504
I12320-6122_19,0.63,0.31,30.0,559
I12320-6122_20,0.42,0.21,30.0,504
I12320-6122_21,1.39,0.69,30.0,1408
I12320-6122_22,1.29,0.65,30.0,2817
I12320-6122_23,0.94,0.47,30.0,1052
I12320-6122_24,0.48,0.24,30.0,1065
I12320-6122_25,0.81,0.40,20.0,1024
I12320-6122_26,0.57,0.29,30.0,1861
I12320-6122_27,0.80,0.40,30.0,2444
I12320-6122_28,0.85,0.42,30.0,2697
I12320-6122_29,0.32,0.16,20.0,504
I12320-6122_30,0.59,0.30,30.0,1464
I12320-6122_31,0.47,0.23,30.0,1213
I12320-6122_32,0.38,0.19,30.0,504
I12320-6122_33,0.22,0.11,30.0,504
I12320-6122_34,1.09,0.55,30.0,3905
I12320-6122_35,0.90,0.45,30.0,2534
I12320-6122_36,1.28,0.64,30.0,4488
I12320-6122_37,1.22,0.61,30.0,4566
I12320-6122_38,0.19,0.10,30.0,504
I12320-6122_39,0.73,0.36,30.0,1644
I12320-6122_40,0.69,0.34,30.0,2048
I12320-6122_41,0.11,0.05,100.0,665
I12320-6122_42,0.45,0.23,30.0,1254
I12320-6122_43,0.41,0.20,30.0,1658
I12320-6122_44,0.20,0.10,100.0,1706
I12320-6122_45,1.17,0.58,30.0,5122
I12320-6122_46,0.17,0.09,30.0,504
I12320-6122_47,0.58,0.29,30.0,3060
I12320-6122_48,0.20,0.10,30.0,504
I12320-6122_49,0.52,0.26,30.0,1404
I12320-6122_50,0.39,0.19,30.0,1797
I12320-6122_51,1.11,0.55,20.0,4421
I12320-6122_52,0.33,0.17,30.0,1027
I12320-6122_53,0.03,0.02,100.0,504
I12320-6122_54,0.28,0.14,30.0,974
I12326-6245_1,138.80,69.40,100.0,689
I12326-6245_2,8.57,4.28,100.0,2212
I12326-6245_3,9.10,4.55,100.0,1205
I12326-6245_4,10.55,5.28,100.0,919
I12326-6245_5,4.30,2.15,100.0,1749
I12326-6245_6,2.30,1.15,100.0,638
I12326-6245_7,3.09,1.54,100.0,945
I12326-6245_8,2.62,1.31,100.0,1389
I12326-6245_9,5.94,2.97,30.0,1173
I12326-6245_10,2.93,1.46,100.0,1446
I12326-6245_11,3.45,1.73,30.0,1629
I12326-6245_12,2.58,1.29,100.0,1329
I12326-6245_13,2.00,1.00,100.0,1083
I12326-6245_14,2.39,1.19,100.0,1379
