ID,Mcore,err_Mcore,Tcore,Size
J250.1422-45.6934,13.20,0.10,100.0,3214
J250.1427-45.6936,12.60,0.10,100.0,3130
J250.1417-45.7020,7.70,0.10,100.0,3166
J250.1398-45.6937,6.30,0.10,100.0,3248
J250.1417-45.7025,13.50,0.30,39.0,3162
J250.1419-45.7023,15.80,0.40,40.0,3518
J250.1379-45.7040,7.40,0.20,29.0,3038
J250.1434-45.6939,12.10,0.30,27.0,4018
J250.1497-45.6929,4.70,0.10,24.0,3182
J250.1404-45.7027,3.00,0.10,100.0,3602
J250.1409-45.6955,4.00,0.20,30.0,3054
J250.1445-45.6966,2.60,0.20,25.0,7132
J250.1423-45.6931,8.10,0.30,29.0,4072
J250.1394-45.6928,3.00,0.30,31.0,2932
J250.1462-45.6894,4.10,0.10,24.0,5410
J250.1419-45.7017,3.80,0.30,37.0,3922
J250.1390-45.6942,3.70,0.20,34.0,4352
J250.1509-45.6953,2.90,0.20,24.0,4508
J250.1409-45.6932,1.70,0.20,29.0,3522
J250.1529-45.6840,2.10,0.10,24.0,4142
J250.1436-45.6996,4.50,0.30,25.0,7430
J250.1391-45.6958,1.70,0.20,31.0,3626
J250.1386-45.6860,0.50,0.10,25.0,2980
J250.1418-45.6937,2.80,0.30,29.0,4138
J250.1397-45.6924,1.30,0.30,28.0,3068
J250.1387-45.6951,1.00,0.20,33.0,3298
J250.1413-45.7016,1.90,0.30,36.0,4562
J250.1517-45.6946,1.70,0.30,24.0,3654
J250.1381-45.6942,1.10,0.20,34.0,3658
J250.1416-45.7012,1.20,0.20,33.0,4026
J250.1519-45.6953,1.30,0.20,24.0,4300
J250.1431-45.7006,1.40,0.20,28.0,5574
J250.1367-45.6914,2.70,0.20,27.0,5874
J250.1356-45.7040,1.60,0.20,25.0,5336
J250.1512-45.6876,1.50,0.10,24.0,7408
J250.1425-45.7017,0.60,0.20,35.0,2536
J250.1363-45.6948,1.90,0.30,30.0,4962
J250.1381-45.6972,1.20,0.20,27.0,5220
J250.1393-45.6933,1.10,0.20,33.0,3566
J250.1374-45.6927,1.00,0.20,30.0,4320
J250.1407-45.7023,1.20,0.20,37.0,3552
J250.1422-45.6953,1.80,0.30,28.0,4930
J261.6773-36.1548,22.90,0.20,100.0,3952
J261.6768-36.1552,36.50,0.40,100.0,4836
J261.6762-36.1549,14.90,0.70,46.0,2840
J261.6784-36.1557,2.50,0.30,100.0,2982
J261.6779-36.1551,16.30,0.80,51.0,4264
J261.6788-36.1553,4.30,0.70,46.0,3520
J261.6785-36.1432,0.50,0.10,25.0,2656
J261.6882-36.1503,0.90,0.10,26.0,3180
J261.6753-36.1588,0.80,0.10,34.0,3400
J261.6743-36.1526,0.80,0.10,36.0,3232
J261.6879-36.1554,0.50,0.10,28.0,3064
J261.6801-36.1544,1.50,0.30,41.0,3576
J261.6758-36.1570,0.90,0.20,37.0,3532
J261.6735-36.1467,0.50,0.10,28.0,3424
J261.6780-36.1507,0.70,0.10,34.0,3532
J261.6820-36.1518,1.00,0.20,34.0,3578
J261.6785-36.1533,1.40,0.30,42.0,3208
J261.6834-36.1545,0.50,0.10,35.0,3622
J262.6165-34.6956,12.50,0.60,29.0,3424
J262.6184-34.6965,4.40,0.20,100.0,4044
J262.6103-34.6933,3.00,0.10,31.0,2984
J262.6102-34.6960,7.30,0.40,37.0,3682
J262.6049-34.6934,3.40,0.20,26.0,3040
J262.6138-34.6947,3.70,0.30,29.0,2770
J262.6040-34.6936,4.60,0.20,26.0,3544
J262.6192-34.6904,2.90,0.10,24.0,4326
J262.6243-34.6881,2.20,0.10,24.0,4032
J262.6072-34.6970,6.10,0.70,30.0,4600
J262.6078-34.6997,1.90,0.20,26.0,3206
J262.6148-34.6947,3.80,0.40,29.0,3420
J262.6107-34.6964,3.30,0.30,34.0,3408
J262.6216-34.6989,1.40,0.10,21.0,5130
J262.5955-34.6916,0.90,0.10,20.0,2944
J262.5927-34.7052,0.80,0.10,20.0,3318
J262.6064-34.7020,0.40,0.10,22.0,2618
J262.6111-34.6933,0.80,0.10,29.0,3268
J262.6132-34.6939,1.50,0.20,28.0,3318
J262.6118-34.6946,1.10,0.20,29.0,3378
J262.6028-34.6925,0.70,0.10,22.0,2934
J262.6198-34.6960,0.70,0.10,23.0,3536
J262.6155-34.6953,1.70,0.40,27.0,2786
J262.6143-34.6917,0.60,0.10,24.0,2868
J262.6001-34.6910,1.80,0.20,20.0,5542
J262.6254-34.7000,0.80,0.10,21.0,4154
J262.6133-34.6919,0.60,0.10,24.0,2868
J262.6115-34.6963,1.20,0.30,32.0,2896
