ID,Mcore,err_Mcore,Tcore,Size
1,0.50,0.25,47.0,1662
2,1.05,0.53,47.0,1550
3,0.26,0.13,47.0,1569
4,4.97,2.49,47.0,2237
5,0.43,0.22,47.0,1831
1,5.69,2.85,20.0,1608
2,0.67,0.34,20.0,1463
1,0.34,0.17,20.0,1234
2,0.63,0.32,20.0,1321
1,0.48,0.24,20.0,1398
2,0.33,0.17,20.0,1647
3,0.27,0.13,20.0,1644
4,2.21,1.11,20.0,1621
5,2.33,1.17,20.0,1691
6,1.11,0.56,20.0,1749
7,3.94,1.97,20.0,1533
8,0.39,0.19,20.0,2101
9,0.70,0.35,20.0,1970
10,0.26,0.13,20.0,1815
11,0.58,0.29,20.0,1795
1,0.62,0.31,20.0,1333
2,0.39,0.20,20.0,1368
3,0.34,0.17,20.0,1377
1,0.79,0.40,20.0,1513
2,0.61,0.31,20.0,1359
1,0.09,0.05,35.0,1602
2,0.07,0.04,35.0,1519
3,0.07,0.03,35.0,1481
4,1.62,0.81,35.0,1538
5,1.76,0.88,35.0,1668
6,0.42,0.21,35.0,1655
7,0.04,0.02,35.0,1209
1,0.17,0.09,70.0,2079
2,0.29,0.14,70.0,2138
3,0.11,0.06,70.0,2079
4,1.35,0.68,70.0,1902
5,0.06,0.03,70.0,1719
6,0.15,0.07,70.0,1900
7,0.15,0.07,70.0,1900
8,1.08,0.54,70.0,2153
9,0.19,0.10,70.0,2077
10,0.09,0.04,70.0,2214
11,1.88,0.94,70.0,2728
12,0.17,0.09,70.0,2180
13,0.10,0.05,70.0,2076
14,0.11,0.05,70.0,1905
15,0.18,0.09,70.0,2493
16,0.06,0.03,70.0,1904
17,0.12,0.06,70.0,2276
18,0.12,0.06,70.0,2387
19,0.12,0.06,70.0,2089
20,0.18,0.09,70.0,2824
21,0.34,0.17,70.0,3040
22,0.23,0.11,70.0,2494
23,0.11,0.06,70.0,2356
24,0.80,0.40,70.0,1755
25,0.92,0.46,70.0,2691
1,2.50,1.25,35.0,1659
2,0.89,0.45,35.0,1695
3,1.18,0.59,35.0,1761
4,4.95,2.48,35.0,1915
5,0.31,0.16,35.0,1397
6,0.16,0.08,35.0,1335
7,0.22,0.11,35.0,1483
8,4.83,2.42,35.0,1821
9,0.57,0.29,35.0,1359
10,0.36,0.18,35.0,1901
11,1.76,0.88,35.0,1625
12,0.28,0.14,35.0,1570
13,2.38,1.19,35.0,1869
14,0.31,0.16,35.0,1519
1,0.13,0.07,48.0,1340
2,0.18,0.09,48.0,1471
3,0.13,0.06,48.0,1408
4,0.20,0.10,48.0,1470
5,0.23,0.12,48.0,1702
6,0.16,0.08,48.0,1550
7,0.44,0.22,48.0,1607
8,0.28,0.14,48.0,1664
9,0.22,0.11,48.0,1872
10,0.19,0.10,48.0,1679
11,0.17,0.09,48.0,1631
12,0.26,0.13,48.0,1350
13,0.26,0.13,48.0,1504
14,0.16,0.08,48.0,1589
15,0.18,0.09,48.0,1626
16,0.59,0.29,48.0,1885
1,5.05,2.53,40.0,1557
1,2.74,1.37,35.0,1700
2,1.41,0.70,35.0,1838
3,0.21,0.11,35.0,1709
4,0.44,0.22,35.0,1824
5,0.51,0.26,35.0,1992
1,0.53,0.27,20.0,1625
2,0.49,0.25,20.0,1578
3,0.61,0.31,20.0,1342
4,1.00,0.50,20.0,1661
5,0.21,0.11,20.0,1256
6,0.26,0.13,20.0,1373
7,0.40,0.20,20.0,1370
8,0.26,0.13,20.0,1280
9,1.43,0.71,20.0,1532
10,0.62,0.31,20.0,1233
11,0.62,0.31,20.0,1312
1,0.33,0.16,20.0,1321
2,1.95,0.98,20.0,1894
3,1.81,0.91,20.0,1494
4,0.43,0.21,20.0,1306
5,0.35,0.18,20.0,1484
6,0.80,0.40,20.0,1777
1,11.21,5.61,20.0,1487
2,3.52,1.76,20.0,1661
3,6.94,3.47,20.0,1317
4,0.33,0.17,20.0,1167
5,0.68,0.34,20.0,1249
6,0.27,0.14,20.0,1081
7,1.66,0.83,20.0,1697
1,1.11,0.55,20.0,1369
2,0.49,0.25,20.0,1297
1,0.21,0.11,46.0,1626
2,1.23,0.62,46.0,2009
3,1.19,0.60,46.0,1625
1,0.08,0.04,50.0,1153
2,0.42,0.21,50.0,1603
3,0.19,0.09,50.0,1469
1,4.46,2.23,35.0,1326
2,1.86,0.93,35.0,1208
3,0.21,0.11,35.0,1032
4,0.25,0.13,35.0,1169
5,0.13,0.07,35.0,1038
6,0.18,0.09,35.0,1083
7,0.38,0.19,35.0,1539
8,0.69,0.35,35.0,1286
1,1.83,0.92,38.0,1145
2,0.36,0.18,38.0,1072
3,0.54,0.27,38.0,1150
4,0.39,0.20,38.0,1117
5,0.59,0.29,38.0,1117
6,4.63,2.31,38.0,1572
7,0.37,0.18,38.0,1073
8,0.95,0.47,38.0,1316
9,1.18,0.59,38.0,1372
10,85.34,42.67,38.0,1725
11,8.80,4.40,38.0,2040
12,0.50,0.25,38.0,1085
13,0.36,0.18,38.0,1108
14,1.56,0.78,38.0,1684
15,0.96,0.48,38.0,1471
16,1.17,0.58,38.0,1594
17,1.61,0.81,38.0,1436
18,15.85,7.92,38.0,1805
19,1.71,0.86,38.0,1201
20,3.00,1.50,38.0,1573
1,0.37,0.19,20.0,1199
2,0.41,0.20,20.0,1168
3,0.73,0.36,20.0,1420
1,2.49,1.25,20.0,1508
1,0.44,0.22,20.0,1645
2,0.73,0.37,20.0,1634
3,5.41,2.70,20.0,1639
4,1.52,0.76,20.0,1685
5,0.74,0.37,20.0,1491
6,0.59,0.30,20.0,1391
7,0.82,0.41,20.0,1364
1,1.18,0.59,20.0,1721
1,0.77,0.39,35.0,1593
2,0.43,0.21,35.0,1853
3,0.23,0.11,35.0,1483
4,1.45,0.73,35.0,1727
5,0.37,0.19,35.0,1617
6,1.47,0.73,35.0,1851
1,0.21,0.10,35.0,1385
1,1.10,0.55,53.0,1571
2,0.38,0.19,53.0,1491
3,2.62,1.31,53.0,1896
4,0.72,0.36,53.0,1344
5,0.28,0.14,53.0,1272
6,3.49,1.75,53.0,1431
7,112.14,56.07,53.0,2567
8,7.69,3.85,53.0,1913
9,5.08,2.54,53.0,1944
1,0.75,0.38,20.0,1342
2,2.13,1.07,20.0,2123
1,0.20,0.10,35.0,1244
2,0.78,0.39,35.0,1409
3,5.67,2.83,35.0,2009
4,0.37,0.19,35.0,1403
1,0.67,0.33,20.0,1340
1,1.59,0.80,20.0,1401
1,0.18,0.09,35.0,2546
1,0.28,0.14,20.0,1531
2,0.24,0.12,20.0,2092
3,0.70,0.35,20.0,1687
4,0.45,0.23,20.0,1942
1,0.83,0.41,20.0,1745
2,3.94,1.97,20.0,1544
3,0.76,0.38,20.0,1607
4,0.53,0.27,20.0,1553
1,0.61,0.31,20.0,1176
2,0.39,0.19,20.0,1170
1,0.49,0.25,20.0,1446
2,0.30,0.15,20.0,1354
3,0.26,0.13,20.0,1356
1,0.22,0.11,35.0,1090
2,2.55,1.27,35.0,1293
3,0.14,0.07,35.0,1191
4,0.13,0.06,35.0,1107
5,0.11,0.06,35.0,1122
6,0.22,0.11,35.0,1471
7,0.25,0.13,35.0,1245
1,0.85,0.43,20.0,1250
2,2.26,1.13,20.0,1527
3,0.36,0.18,20.0,1263
1,0.29,0.14,20.0,763
2,0.21,0.10,20.0,869
1,1.89,0.95,37.0,1520
2,3.52,1.76,37.0,1712
1,0.86,0.43,39.0,1554
2,3.29,1.65,39.0,1745
3,2.76,1.38,39.0,2350
4,0.29,0.15,39.0,1496
5,1.49,0.74,39.0,1779
6,0.36,0.18,39.0,1495
1,0.40,0.20,20.0,2302
2,0.30,0.15,20.0,2240
3,0.47,0.24,20.0,2959
1,0.48,0.24,35.0,1358
2,1.29,0.65,35.0,1580
3,0.22,0.11,35.0,1303
4,0.99,0.50,35.0,1344
5,2.79,1.40,35.0,1803
6,3.10,1.55,35.0,1710
1,0.08,0.04,40.0,1672
2,0.72,0.36,40.0,2240
3,0.15,0.07,40.0,2072
4,0.15,0.08,40.0,2013
5,0.23,0.12,40.0,2739
6,0.19,0.10,40.0,2851
7,0.34,0.17,40.0,2546
8,0.16,0.08,40.0,1969
9,0.14,0.07,40.0,2114
1,4.63,2.31,35.0,1391
2,1.40,0.70,35.0,1675
3,0.45,0.22,35.0,1663
4,0.21,0.10,35.0,1412
5,0.22,0.11,35.0,1292
6,0.19,0.10,35.0,1273
7,0.26,0.13,35.0,1325
8,0.49,0.24,35.0,1738
9,0.13,0.07,35.0,1063
10,0.16,0.08,35.0,1194
1,0.12,0.06,35.0,1284
2,0.21,0.11,35.0,1182
3,0.39,0.19,35.0,1456
1,0.99,0.49,35.0,1511
2,0.36,0.18,35.0,1480
3,2.76,1.38,35.0,1360
4,0.16,0.08,35.0,1084
1,1.42,0.71,20.0,1561
1,0.24,0.12,50.0,1503
2,0.06,0.03,50.0,1414
3,0.06,0.03,50.0,1341
4,0.11,0.06,50.0,1783
5,0.05,0.03,50.0,1191
6,0.15,0.07,50.0,1501
7,0.15,0.08,50.0,1389
8,0.07,0.04,50.0,1491
9,0.33,0.16,50.0,1566
10,0.08,0.04,50.0,1196
11,0.09,0.04,50.0,1484
12,1.78,0.89,50.0,1930
13,1.71,0.85,50.0,2141
14,0.10,0.05,50.0,1550
15,0.11,0.05,50.0,1595
