ID,Mcore,err_Mcore,Tcore,Size
562,0.66,0.39,9.6,6806
563,0.17,0.12,11.5,6394
564,0.93,0.10,12.9,4537
565,0.02,0.01,17.7,3300
566,0.18,0.03,17.5,4950
567,0.04,0.02,14.5,4537
568,0.02,0.01,22.2,2268
569,0.05,0.40,13.2,2887
570,0.04,0.04,16.4,4331
571,0.24,0.12,11.5,7219
572,0.41,0.06,12.2,5775
573,0.62,0.09,12.6,3712
574,0.42,0.10,11.6,3300
575,2.58,0.59,9.1,12169
576,0.26,0.13,14.5,11550
577,3.55,0.64,8.9,10519
578,0.50,0.08,11.5,2681
579,1.15,0.15,11.8,4537
581,0.05,0.03,14.5,4950
582,0.08,0.02,15.6,3506
583,0.15,0.06,14.1,4537
584,0.11,0.05,15.2,9281
585,0.23,0.06,12.2,3919
586,0.77,0.12,10.9,6806
587,0.10,0.05,13.4,3093
588,0.24,0.07,12.9,3712
589,0.06,0.03,14.0,4950
590,0.26,0.05,14.3,4744
591,0.09,0.03,14.9,4744
592,0.23,0.10,14.3,13613
593,0.28,0.09,12.1,3506
594,0.34,0.07,12.7,2681
596,0.28,0.14,14.5,7631
597,0.92,0.12,12.4,5362
598,0.69,0.35,14.5,10932
600,0.13,0.04,12.0,4744
601,0.09,0.05,13.2,4331
602,0.16,0.04,12.1,4537
603,0.09,0.07,12.3,5362
604,0.36,0.18,11.5,2887
605,1.06,0.38,9.8,10725
606,0.14,0.08,11.9,4125
607,0.01,0.01,19.2,3919
608,0.29,0.13,13.8,12169
609,0.19,0.07,11.6,2268
610,0.02,0.01,16.8,3919
611,0.64,0.11,12.1,7013
612,0.03,0.01,14.5,4950
613,0.22,0.05,17.6,9075
614,0.17,0.09,14.5,8456
615,0.08,0.04,14.5,6394
616,0.27,0.06,13.2,3712
617,0.21,0.05,12.1,2268
618,1.29,0.61,8.2,7219
619,1.82,0.91,11.5,22689
620,0.29,0.19,11.4,4331
621,0.16,0.08,14.5,8663
622,0.65,0.33,11.5,15263
623,0.36,0.14,10.1,7219
624,0.23,0.12,11.5,5981
625,3.18,0.93,8.9,11550
626,0.15,0.08,11.5,11344
627,1.36,0.29,9.3,8456
628,0.02,0.01,16.8,2681
629,0.05,0.02,14.3,4331
630,0.04,0.03,17.8,6187
632,0.03,0.02,14.5,3506
